Category,Name,Role Identifier,Role / Title,Affiliation / Department,Login Email,Login Password,Direct Dashboard URL,Public Profile URL,Special Badges
"ADMIN","Dr. Vikram Sharma","super_admin","Super Administrator","Executive Leadership & Governance","superadmin@cseel.org","SuperAdmin@2026#CSEEL","/admin","https://www.cseel.org/admin","👑 Full System Access"
"ADMIN","Pooja Kashyap","hr_admin","HR & Talent Acquisition Lead","Human Resources","hr.careers@cseel.org","HrCareers@2026#CSEEL","/admin","https://www.cseel.org/careers","💼 Internal Careers Lead"
"ADMIN","Col. Rajesh Menon (Retd.)","school_admin","Institutional Network Administrator","School & University Relations","schools.admin@cseel.org","SchoolAdmin@2026#CSEEL","/admin","https://www.cseel.org/edu-network","🏫 104+ Schools Verification"
"ADMIN","Dr. Anita Roy","recruitment_admin","Faculty Recruitment Specialist","Teacher & Staffing Operations","recruitment.jobs@cseel.org","RecruitAdmin@2026#CSEEL","/admin","https://www.cseel.org/edu-network/teachers","⚡ 72h Flash Seeker Lead"
"ADMIN","Prof. S. N. Bose","science_admin","Virtual Lab & Simulation Lead","Academic Science Team","science.labs@cseel.org","ScienceLab@2026#CSEEL","/admin","https://www.cseel.org/demo","🧪 Virtual Simulations Editor"
"ADMIN","Karan Mehra","projectokart_admin","Projectokart Inventions Manager","Hardware Projects & Fairs","projectokart@cseel.org","ProjectoKart@2026#CSEEL","/admin","https://www.cseel.org/projects","🔬 CAD & BOM Schematics"
"ADMIN","Sunil Aggarwal","inventory_admin","Lab Materials & Supply Chain Lead","Inventory & Procurement","inventory.stock@cseel.org","InventoryStock@2026#CSEEL","/admin","https://www.cseel.org/materials","📦 STEM Stock & Wholesale"
"ADMIN","Ritu Sen","programs_admin","Conclaves, Seminars & Events Head","Outreach & Events","events.seminars@cseel.org","ProgramsEvent@2026#CSEEL","/admin","https://www.cseel.org/seminars","🎪 National Conclaves & Passes"
"ADMIN","Dr. Harshvardhan Joshi","rnd_admin","R&D & Research Director","Research & Future Technologies","rnd.research@cseel.org","RndResearch@2026#CSEEL","/admin","https://www.cseel.org/research","💡 Whitepapers & Patents"
"ADMIN","Neha Verma","content_admin","Web Platform & Content Editor","Media, Blog & Web Communications","content.web@cseel.org","ContentWeb@2026#CSEEL","/admin","https://www.cseel.org/blog","🌐 Homepage Banners & CMS"
"STUDENT","Aarav Sharma","student","Student Innovator (Class 10)","Delhi Public School, R.K. Puram","aarav.sharma@student.cseel.org","Student@Aarav2026","/student","/edu-network/students/aarav-sharma-new-delhi","🏆 National ATL Tinkering Gold Medalist"
"STUDENT","Ananya Iyer","student","Student Innovator (Class 11 - PCB)","The Mother's International School, Delhi","ananya.iyer@student.cseel.org","Student@Ananya2026","/student","/edu-network/students/ananya-iyer-delhi","🧪 24 Virtual Labs Completed"
"STUDENT","Rohan Patel","student","Student Innovator (Class 12 - PCM)","National Public School, Indiranagar, Bengaluru","rohan.patel@student.cseel.org","Student@Rohan2026","/student","/edu-network/students/rohan-patel-bengaluru","🤖 Solar IoT Dual-Axis Prototype"
"STUDENT","Diya Mukherjee","student","Student Innovator (Class 9)","Bombay Scottish School, Mahim, Mumbai","diya.mukherjee@student.cseel.org","Student@Diya2026","/student","/edu-network/students/diya-mukherjee-mumbai","🔬 Smart Hydroponics Science Fair"
"TEACHER","Dr. Ramesh K. Mukherjee","teacher","Senior Physics PGT Faculty","National Public School, Indiranagar, Bengaluru","ramesh.mukherjee@faculty.cseel.org","Faculty@Ramesh2026","/teacher","/edu-network/teachers/dr-ramesh-k-mukherjee-bengaluru","⚡ 72h Flash Job Seeker Active • 14 Yrs Exp"
"TEACHER","Sunita Deshmukh","teacher","Chemistry HOD & ATL Lead","The Cathedral and John Connon School, Mumbai","sunita.deshmukh@faculty.cseel.org","Faculty@Sunita2026","/teacher","/edu-network/teachers/sunita-deshmukh-mumbai","⭐ 4.9 Rating • NEP Lab Certified"
"TEACHER","Vipin Narang","teacher","Robotics & Computer Science PGT","Delhi Public School, R.K. Puram, New Delhi","vipin.narang@faculty.cseel.org","Faculty@Vipin2026","/teacher","/edu-network/teachers/vipin-narang-new-delhi","🤖 AI & Microcontrollers Mentor"
"TEACHER","Priyanka Sen","teacher","Biology TGT & Biotechnology Specialist","SAI International School, Bhubaneswar","priyanka.sen@faculty.cseel.org","Faculty@Priyanka2026","/teacher","/edu-network/teachers/priyanka-sen-bhubaneswar","🔬 Virtual Lab Simulator Master"
"ORGANISATION","Delhi Public School, R.K. Puram","organisation","School Principal & Academic Admin","CBSE Affiliated Senior Secondary School","principal@dpsrkp.cseel.org","School@DpsRkp2026","/org","/edu-network/org/delhi-public-school-rk-puram-delhi","🏫 104 Verified STEM Labs • Rating 4.9"
"ORGANISATION","National Public School, Indiranagar","organisation","Head of Institution & Lab Director","CBSE Affiliated STEM Hub, Bengaluru","admin@npsindiranagar.cseel.org","School@NpsBlr2026","/org","/edu-network/org/national-public-school-indiranagar-bengaluru","🔬 Composite Labs Verified • 3 Open Jobs"
"ORGANISATION","The Cathedral and John Connon School","organisation","Dean of Academics & STEM Centre","ICSE / IB Affiliated Heritage School, Mumbai","director@cathedral.cseel.org","School@Cathedral2026","/org","/edu-network/org/the-cathedral-and-john-connon-school-mumbai","👑 Verified ATL Tinkering Hub"
"ORGANISATION","SAI International School, Bhubaneswar","organisation","Vice Chairman & Administration","CBSE / Cambridge Affiliated School, Odisha","admin@saiinternational.cseel.org","School@SaiOdisha2026","/org","/edu-network/org/sai-international-school-bhubaneswar","🏆 No. 1 Day-Cum-Boarding School"
"USER","Rahul Verma","user","Independent Science Learner & Maker","Self-Directed STEM Enthusiast","rahul.learner@cseel.org","User@Rahul2026","/user","/user/profile","🚀 Projectokart Maker & Sim User"
