Account_Type,ID,Name_or_Organization,Category_or_Subject,Email_Username,Password,City,State,Pincode,CSEEL_Verification_Status
Organization,org-1,"ISRO - Indian Space Research Organisation HQ","School (CBSE/ICSE)",org.1@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-2,"DRDO - Defence Research & Development Organisation","School (CBSE/ICSE)",org.2@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-3,"IISc - Indian Institute of Science","School (CBSE/ICSE)",org.3@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-4,"CSIR-NCL National Chemical Laboratory","Atal Tinkering Lab",org.4@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-5,"BARC - Bhabha Atomic Research Centre","University / Research",org.5@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-6,"IIT Bombay - Indian Institute of Technology","School (CBSE/ICSE)",org.6@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-7,"IIT Delhi - Indian Institute of Technology","School (CBSE/ICSE)",org.7@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-8,"AIIMS New Delhi - All India Institute of Medical Sciences","Atal Tinkering Lab",org.8@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-9,"IIT Bhubaneswar - Indian Institute of Technology","School (CBSE/ICSE)",org.9@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-10,"Delhi Public School (DPS) R.K. Puram","University / Research",org.10@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-11,"Kendriya Vidyalaya IIT Powai","School (CBSE/ICSE)",org.11@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-12,"DAV Public School Chandrasekharpur","Atal Tinkering Lab",org.12@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-13,"SAI International School","School (CBSE/ICSE)",org.13@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-14,"National Science & Education Campus 14","School (CBSE/ICSE)",org.14@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-15,"National Science & Education Campus 15","University / Research",org.15@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-16,"National Science & Education Campus 16","Atal Tinkering Lab",org.16@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-17,"National Science & Education Campus 17","School (CBSE/ICSE)",org.17@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-18,"National Science & Education Campus 18","School (CBSE/ICSE)",org.18@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-19,"National Science & Education Campus 19","School (CBSE/ICSE)",org.19@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-20,"National Science & Education Campus 20","Atal Tinkering Lab",org.20@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-21,"National Science & Education Campus 21","School (CBSE/ICSE)",org.21@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-22,"National Science & Education Campus 22","School (CBSE/ICSE)",org.22@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-23,"National Science & Education Campus 23","School (CBSE/ICSE)",org.23@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-24,"National Science & Education Campus 24","Atal Tinkering Lab",org.24@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-25,"National Science & Education Campus 25","University / Research",org.25@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-26,"National Science & Education Campus 26","School (CBSE/ICSE)",org.26@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-27,"National Science & Education Campus 27","School (CBSE/ICSE)",org.27@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-28,"National Science & Education Campus 28","Atal Tinkering Lab",org.28@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-29,"National Science & Education Campus 29","School (CBSE/ICSE)",org.29@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-30,"National Science & Education Campus 30","University / Research",org.30@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-31,"National Science & Education Campus 31","School (CBSE/ICSE)",org.31@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-32,"National Science & Education Campus 32","Atal Tinkering Lab",org.32@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-33,"National Science & Education Campus 33","School (CBSE/ICSE)",org.33@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-34,"National Science & Education Campus 34","School (CBSE/ICSE)",org.34@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-35,"National Science & Education Campus 35","University / Research",org.35@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
Organization,org-36,"National Science & Education Campus 36","Atal Tinkering Lab",org.36@cseel.network,Dev@123,Bhubaneswar,Odisha,751024,CSEEL Verified Gold
Organization,org-37,"National Science & Education Campus 37","School (CBSE/ICSE)",org.37@cseel.network,Dev@123,New Delhi,Delhi,110001,CSEEL Verified Gold
Organization,org-38,"National Science & Education Campus 38","School (CBSE/ICSE)",org.38@cseel.network,Dev@123,Bengaluru,Karnataka,560001,CSEEL Verified Gold
